_id,AÑO,CVE_ENT,ENTIDAD,HOMBRES,MUJERES,DESCONOCIDO,TOTAL,POBLACION_HOMBRES,POBLACION_MUJERES,POBLACION_TOTAL,TASA_HOMBRES,TASA_MUJERES,TASA_TOTAL
207,1996,2,Baja California,64,9,0,73,1110076.0,1082021.0,2192097.0,5.7653710196419,0.831776832427467,3.33014460582721
208,1996,3,Baja California Sur,28,1,0,29,198879.0,190174.0,389053.0,14.0789123034609,0.525834236015438,7.45399727029479
209,1996,4,Campeche,29,9,0,38,332844.0,326915.0,659759.0,8.71279037627237,2.7530091919918,5.75967891305765
210,1996,5,Coahuila,70,8,0,78,1113822.0,1116593.0,2230415.0,6.28466667025791,0.716465175762341,3.497107040618
211,1996,6,Colima,21,2,0,23,252489.0,253298.0,505787.0,8.31719401637299,0.789583810373552,4.54736875404073
212,1996,7,Chiapas,51,13,1,65,1851574.0,1842929.0,3694503.0,2.75441327216736,0.705398851502147,1.75937061087784
213,1996,8,Chihuahua,158,26,0,184,1441177.0,1438226.0,2879403.0,10.963261278802,1.80778264333978,6.39021352690124
214,1996,9,Ciudad de México,295,62,0,357,4162107.0,4469174.0,8631281.0,7.08775627344516,1.38728096064284,4.13611838150096
215,1996,10,Durango,42,11,0,53,730408.0,738927.0,1469335.0,5.75021084106417,1.48864502176805,3.60707394841884
216,1996,11,Guanajuato,96,23,0,119,2211097.0,2328114.0,4539211.0,4.3417362512816,0.987924130863008,2.62160097867228
217,1996,12,Guerrero,46,20,0,66,1480404.0,1522713.0,3003117.0,3.10725991013264,1.31344514691869,2.19771657248119
218,1996,13,Hidalgo,35,6,0,41,1078426.0,1102139.0,2180565.0,3.24547071379956,0.544395942798504,1.88024663332668
